year,period,periodName,value,calculations.pct_changes.12,ID,area_name,laus_check,item_name
2020,M02,February,240.777,1.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M12,December,238.811,1.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M10,October,238.98,1.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M08,August,239.765,2.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M06,June,240.558,1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M04,April,237.885,0.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2019,M02,February,237.937,1.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M12,December,235.536,1.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M10,October,236.228,1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M08,August,234.603,1.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M06,June,236.275,1.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M04,April,236.017,1.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2018,M02,February,233.581,1.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M12,December,232.107,2.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M10,October,231.945,1.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M08,August,231.121,0.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M06,June,232.827,1.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M04,April,231.578,1.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2017,M02,February,229.704,1.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M12,December,226.808,0.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M10,October,229.684,0.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M08,August,229.871,0.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M06,June,230.115,-0.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M04,April,228.842,0.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2016,M02,February,226.23,0.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M12,December,226.738,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M10,October,228.106,-0.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M08,August,229.935,-0.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M06,June,230.436,-0.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M04,April,227.27,-1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2015,M02,February,225.426,-0.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M12,December,225.368,-0.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M10,October,230.188,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M08,August,230.237,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M06,June,231.449,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M04,April,231.503,1.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2014,M02,February,227.179,-0.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M12,December,225.767,0.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M10,October,228.891,-0.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M08,August,228.941,0.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M06,June,230.149,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M04,April,228.675,0.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2013,M02,February,228.143,1.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M12,December,225.759,1.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M10,October,230.422,2.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M08,August,228.72,2.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M06,June,228.723,2.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M04,April,227.296,2.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2012,M02,February,224.567,3.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2011,M12,December,223.443,3.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2011,M10,October,225.279,4.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2011,M08,August,223.569,3.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2011,M06,June,224.011,4.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
